,Functional Area,Applies To,Time Scale,Time Range,Versions,Breakback,Users List,Cell Count,Notes,Read Access Driver,Write Access Driver,Data Tags,Managed By,Referenced By,Used in Dashboards,Line Items
SYS01 Time Settings,System,,Month,Model Calendar,Not Applicable,New Line Items: Off,Show All Users: On,180,Standard time flags. Built Mar 2019.,,,,,,,"Current Period?, Start of Month, End of Month, Days in Month, Period Label"
SYS00 Model Settings,System,,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,3,,,,,,'SYS01 Time Settings',,"Current Period, Last Loaded Period, Load Status"
DAT01 GL Transactions,Data,"Cost Centres, Accounts",Month,Model Calendar,Not Applicable,New Line Items: Off,Show All Users: On,5017824,Loaded daily from NetSuite. Do not enter data here.,,,,,'SYS02 Data Checks',,"Amount, Journal Count, Source System, Loaded?"
DAT02 Cost Centre Master,Data,Cost Centres,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,1197,,,,,,,,"Department, Region, Legal Entity, Currency, Active?, Cost Centre Code, Description, Group, Owner Email"
DAT03 Account Master,Data,Accounts,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,1834,,,,,,,,"Account Type, P&L Line, Account Code, Revenue?, Opex?, COGS?, Sign"
DAT04 Product Master,Data,Products,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,252,,,,,,,,"Segment, Launch Date, Active?, Product Code, Revenue Cost Centre, Product Family"
DAT05 CRM Pipeline,Data,Customers,Month,Model Calendar,Not Applicable,New Line Items: Off,Show All Users: On,86400,,,,,,,,"Open Pipeline, Probability, Weighted Pipeline, Expected Close, Stage"
DAT06 Sales Orders,Data,"Customers, Products",Month,Model Calendar,Not Applicable,New Line Items: Off,Show All Users: On,2903040,,,,,,"'CAL01 Volume Summary', 'SYS02 Data Checks'",,"Units, Order Revenue, Order Count, Last Order Ref"
DAT07 Customer Master,Data,Customers,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,2400,,,,,,'CAL01 Volume Summary',,"Region, Segment, Customer Code, Key Account?, Region Code"
DAT08 Employee Master,Data,Employees,Not Applicable,Not Applicable,Not Applicable,New Line Items: Off,Show All Users: On,11100,Loaded from Workday. WFP model loads Workday separately (see Workforce Planning).,,,,,,,"Cost Centre, Role, Start Date, End Date, FTE, Employee Id"
CAL01 Volume Summary,Calculation,"Products, Regions",Month,Model Calendar,Not Applicable,New Line Items: Off,Show All Users: On,36288,,,,,,,,"Units, Revenue, Orders, Average Order Value"
SYS02 Data Checks,System,,Month,Model Calendar,Not Applicable,New Line Items: Off,Show All Users: On,180,Reconciliation flags read by the load dashboard.,,,,,,,"GL Total, Orders Total, Difference, Within Tolerance?, Check Message"
